arsno,bstopid,bstopnm,gpsx,gpsy,stoptype,geometry
02026,168470202,동신초등학교입구,129.0192616667,35.1145383333,일반,POINT (129.0192616667 35.1145383333)
02027,168470201,동신초등학교,129.01817,35.11513,일반,POINT (129.01817 35.11513)
02028,168310301,동신초등학교,129.0191816667,35.1148433333,일반,POINT (129.0191816667 35.1148433333)
02029,168310302,동신초등학교,129.018350262196,35.115287623633,일반,POINT (129.018350262196 35.115287623633)
02030,168330101,문화아파트,129.016648274889,35.115445836323,일반,POINT (129.016648274889 35.115445836323)
02031,168340201,부경고교,129.0140116667,35.114255,일반,POINT (129.0140116667 35.114255)
02032,168340202,구덕운동장,129.0139233333,35.1138633333,일반,POINT (129.0139233333 35.1138633333)
02033,168340203,부경고교,129.0136116667,35.1132816667,일반,POINT (129.0136116667 35.1132816667)
02034,168620401,삼육부산병원,129.011595,35.112665,일반,POINT (129.011595 35.112665)
02035,168610101,삼육부산병원.서대신역,129.0119116667,35.1115966667,일반,POINT (129.0119116667 35.1115966667)
02036,168620302,서대신교차로.서대신역,129.0111201,35.11057689,일반,POINT (129.0111201 35.11057689)
02038,168760101,광민약국.서대신동,129.0098166667,35.1110683333,일반,POINT (129.0098166667 35.1110683333)
02039,168610201,광민약국.서대신동,129.009755,35.1109983333,일반,POINT (129.009755 35.1109983333)
02040,168620201,서대신역.서부경찰서,129.01316,35.11043,일반,POINT (129.01316 35.11043)
02041,168620101,서대신역.서대신교차로,129.013231714115,35.112256686977,일반,POINT (129.013231714115 35.112256686977)
02042,168620102,부경고교,129.01382,35.11351,일반,POINT (129.01382 35.11351)
02043,168320303,구덕운동장(종점),129.0157633333,35.11389,일반,POINT (129.0157633333 35.11389)
02044,168320302,구덕운동장,129.01605,35.1133516667,일반,POINT (129.01605 35.1133516667)
02045,168320301,서대신우체국,129.01649139909,35.112902528143,일반,POINT (129.01649139909 35.112902528143)
02046,168320201,동대신역,129.017151791263,35.111077651761,일반,POINT (129.017151791263 35.111077651761)
02048,168370301,서대시장.동대신역,129.016797275181,35.109864798396,일반,POINT (129.016797275181 35.109864798396)
02050,168280101,서대시장,129.0161716667,35.10945,일반,POINT (129.0161716667 35.10945)
02051,168290101,서대시장.동대신역,129.01739670669,35.109791509607,일반,POINT (129.01739670669 35.109791509607)
