발생일,lat,lng,주소,Address,geometry
2022-12-29,35.08907366,128.8970099,부산광역시 강서구 명지동  3270번길,부산광역시 강서구 명지동  3270번길,POINT (128.8970099111826 35.08907366019812)
2022-12-29,35.15426306,129.1194844,부산광역시 수영구 광안동  205번길,부산광역시 수영구 광안동  205번길,POINT (129.1194844345063 35.15426305629354)
2022-12-29,35.11176044,129.0219078,부산광역시 서구 동대신동2가  197번길-6,부산광역시 서구 동대신동2가  197번길-6,POINT (129.0219077560767 35.11176043676047)
2022-12-28,35.18716259,129.1254759,부산광역시 해운대구 재송동  1139번길,부산광역시 해운대구 재송동  1139번길,POINT (129.1254758922003 35.18716258711076)
2022-12-28,35.18665769,128.9897579,부산광역시 사상구 모라동  467번길,부산광역시 사상구 모라동  467번길,POINT (128.9897578913289 35.1866576945287)
2022-12-28,35.16310353,129.0549033,부산광역시 부산진구 부암동  668번길-1,부산광역시 부산진구 부암동  668번길-1,POINT (129.0549033390454 35.16310352682217)
2022-12-28,35.1626209,129.0551985,부산광역시 부산진구 부암동  668번길-1,부산광역시 부산진구 부암동  668번길-1,POINT (129.0551984581582 35.16262090251833)
2022-12-28,35.18774375,129.1025163,부산광역시 연제구 연산동  311번길,부산광역시 연제구 연산동  311번길,POINT (129.1025163212755 35.18774375212512)
2022-12-28,35.27580509,129.0928183,부산광역시 금정구 청룡동  579번길,부산광역시 금정구 청룡동  579번길,POINT (129.0928182546528 35.27580509304755)
2022-12-28,35.16236363,129.0475104,부산광역시 부산진구 부암동  183번길-1,부산광역시 부산진구 부암동  183번길-1,POINT (129.0475104223711 35.16236363416266)
2022-12-27,35.10426393,128.9720631,부산광역시 사하구 당리동  315번길,부산광역시 사하구 당리동  315번길,POINT (128.9720631074042 35.10426393358573)
2022-12-28,35.09349187,128.8685764,부산광역시 강서구 송정동  1687번길,부산광역시 강서구 송정동  1687번길,POINT (128.8685764090252 35.09349187282719)
2022-12-28,35.14516122,129.0635253,부산광역시 남구 문현동  1226번길-3,부산광역시 남구 문현동  1226번길-3,POINT (129.0635253471505 35.14516121754814)
2022-12-28,35.09477172,128.8258851,부산광역시 강서구 송정동  1490번길,부산광역시 강서구 송정동  1490번길,POINT (128.8258851000966 35.09477172318642)
2022-12-28,35.24512768,129.0916614,부산광역시 금정구 구서동  494번길,부산광역시 금정구 구서동  494번길,POINT (129.0916613782878 35.24512768171274)
2022-12-28,35.08414681,128.9717815,부산광역시 사하구 장림동  1033번길-5,부산광역시 사하구 장림동  1033번길-5,POINT (128.971781450872 35.0841468120074)
2022-12-28,35.20329045,129.0807668,부산광역시 동래구 명륜동  506번길-12,부산광역시 동래구 명륜동  506번길-12,POINT (129.0807668275012 35.20329045312153)
2022-12-27,35.32063663,129.1742411,부산광역시 기장군 정관읍 매학리 737번길,부산광역시 기장군 정관읍 매학리 737번길,POINT (129.1742411342483 35.3206366331817)
2022-12-27,35.32043915,129.1749562,부산광역시 기장군 정관읍 매학리 736번길,부산광역시 기장군 정관읍 매학리 736번길,POINT (129.1749561881206 35.32043914767891)
2022-12-27,35.14057602,128.9828949,부산광역시 사상구 학장동  138번길-2,부산광역시 사상구 학장동  138번길-2,POINT (128.9828949172211 35.14057601991174)
2022-12-27,35.09352232,128.8685744,부산광역시 강서구 송정동  1687번길,부산광역시 강서구 송정동  1687번길,POINT (128.8685743626378 35.09352232006733)
2022-12-27,35.32174458,129.1747656,부산광역시 기장군 정관읍 매학리 734번길,부산광역시 기장군 정관읍 매학리 734번길,POINT (129.1747655783831 35.32174458432186)
2022-12-27,35.2003214,129.1135612,부산광역시 동래구 안락동  15번길-26,부산광역시 동래구 안락동  15번길-26,POINT (129.1135612 35.2003214)
2022-12-27,35.19490597,129.2093776,부산광역시 기장군 기장읍 당사리 523번길,부산광역시 기장군 기장읍 당사리 523번길,POINT (129.2093776136269 35.19490596783482)
2022-12-27,35.17008363,129.1753271,부산광역시 해운대구 좌동  1469번길,부산광역시 해운대구 좌동  1469번길,POINT (129.1753271159183 35.17008362598136)
2022-12-27,35.17010026,129.1754044,부산광역시 해운대구 좌동  1469번길,부산광역시 해운대구 좌동  1469번길,POINT (129.175404379984 35.17010026059191)
2022-12-27,35.17005562,129.1753812,부산광역시 해운대구 좌동  1469번길,부산광역시 해운대구 좌동  1469번길,POINT (129.1753812416477 35.17005561941637)
2022-12-27,35.17007824,129.1753764,부산광역시 해운대구 좌동  1469번길,부산광역시 해운대구 좌동  1469번길,POINT (129.1753763570893 35.17007823561904)
2022-12-27,35.0859778,128.9863676,부산광역시 사하구 구평동  106번길,부산광역시 사하구 구평동  106번길,POINT (128.986367606545 35.0859777966562)
2022-12-27,35.0859778,128.9863676,부산광역시 사하구 구평동  106번길,부산광역시 사하구 구평동  106번길,POINT (128.986367606545 35.0859777966562)
2022-12-27,35.19057104,128.9805526,부산광역시 사상구 삼락동  463번길,부산광역시 사상구 삼락동  463번길,POINT (128.9805525522461 35.19057103506584)
2022-12-27,35.08907588,128.9123543,부산광역시 강서구 명지동  2984번길-102,부산광역시 강서구 명지동  2984번길-102,POINT (128.9123542869285 35.08907587662599)
2022-12-26,35.14529303,129.0978195,부산광역시 남구 대연동  1633번길-89,부산광역시 남구 대연동  1633번길-89,POINT (129.0978194566543 35.14529303484603)
2022-12-26,35.16612278,129.1333067,부산광역시 해운대구 우동  1524번길,부산광역시 해운대구 우동  1524번길,POINT (129.133306700451 35.16612277661876)
2022-12-26,35.18677604,129.1254219,부산광역시 해운대구 재송동  1139번길,부산광역시 해운대구 재송동  1139번길,POINT (129.1254219152794 35.18677604218257)
2022-12-26,35.1431178,129.1147302,부산광역시 수영구 남천동  148번길-8,부산광역시 수영구 남천동  148번길-8,POINT (129.1147301781499 35.14311780451319)
2022-12-26,35.15462894,129.0654488,부산광역시 부산진구 전포동  870번길-1,부산광역시 부산진구 전포동  870번길-1,POINT (129.0654487712589 35.15462893542077)
2022-12-26,35.13586887,129.1110652,부산광역시 수영구 남천동  567번길,부산광역시 수영구 남천동  567번길,POINT (129.1110651572008 35.13586886799596)
